Candidate,Table,"Number of votes"
Maria Corina Machado,T1,112
Maria Corina Machado,T2,112
Maria Corina Machado,T3,122
Maria Corina Machado,T4,125
Maria Corina Machado,T5,117
Maria Corina Machado,T6,114
Maria Corina Machado,T7,108
Maria Corina Machado,T8,117
Maria Corina Machado,T9,99
Maria Corina Machado,T10,124
Maria Corina Machado,T11,121
Maria Corina Machado,T12,134
Maria Corina Machado,T13,116
Maria Corina Machado,T14,125
Maria Corina Machado,T15,38
Carlos Prosperi,T1,1
Carlos Prosperi,T2,1
Carlos Prosperi,T3,3
Carlos Prosperi,T4,1
Carlos Prosperi,T5,0
Carlos Prosperi,T6,0
Carlos Prosperi,T7,0
Carlos Prosperi,T8,1
Carlos Prosperi,T9,0
Carlos Prosperi,T10,1
Carlos Prosperi,T11,0
Carlos Prosperi,T12,1
Carlos Prosperi,T13,1
Carlos Prosperi,T14,1
Carlos Prosperi,T15,0
Delsa Solorzano,T1,0
Delsa Solorzano,T2,0
Delsa Solorzano,T3,1
Delsa Solorzano,T4,1
Delsa Solorzano,T5,0
Delsa Solorzano,T6,1
Delsa Solorzano,T7,1
Delsa Solorzano,T8,1
Delsa Solorzano,T9,0
Delsa Solorzano,T10,0
Delsa Solorzano,T11,2
Delsa Solorzano,T12,1
Delsa Solorzano,T13,0
Delsa Solorzano,T14,0
Delsa Solorzano,T15,1
Andres Caleca,T1,0
Andres Caleca,T2,1
Andres Caleca,T3,0
Andres Caleca,T4,1
Andres Caleca,T5,2
Andres Caleca,T6,1
Andres Caleca,T7,1
Andres Caleca,T8,0
Andres Caleca,T9,1
Andres Caleca,T10,2
Andres Caleca,T11,1
Andres Caleca,T12,0
Andres Caleca,T13,1
Andres Caleca,T14,2
Andres Caleca,T15,1
Cesar Perez Vivas,T1,0
Cesar Perez Vivas,T2,0
Cesar Perez Vivas,T3,0
Cesar Perez Vivas,T4,0
Cesar Perez Vivas,T5,0
Cesar Perez Vivas,T6,0
Cesar Perez Vivas,T7,0
Cesar Perez Vivas,T8,1
Cesar Perez Vivas,T9,0
Cesar Perez Vivas,T10,0
Cesar Perez Vivas,T11,0
Cesar Perez Vivas,T12,0
Cesar Perez Vivas,T13,0
Cesar Perez Vivas,T14,2
Cesar Perez Vivas,T15,0
Andres Velasquez,T1,0
Andres Velasquez,T2,0
Andres Velasquez,T3,2
Andres Velasquez,T4,0
Andres Velasquez,T5,0
Andres Velasquez,T6,0
Andres Velasquez,T7,0
Andres Velasquez,T8,0
Andres Velasquez,T9,0
Andres Velasquez,T10,0
Andres Velasquez,T11,1
Andres Velasquez,T12,0
Andres Velasquez,T13,0
Andres Velasquez,T14,0
Andres Velasquez,T15,0
Luis Farias,T1,0
Luis Farias,T2,0
Luis Farias,T3,0
Luis Farias,T4,0
Luis Farias,T5,0
Luis Farias,T6,0
Luis Farias,T7,0
Luis Farias,T8,0
Luis Farias,T9,0
Luis Farias,T10,0
Luis Farias,T11,0
Luis Farias,T12,0
Luis Farias,T13,0
Luis Farias,T14,0
Luis Farias,T15,0
Gloria Pinho,T1,0
Gloria Pinho,T2,0
Gloria Pinho,T3,0
Gloria Pinho,T4,0
Gloria Pinho,T5,0
Gloria Pinho,T6,0
Gloria Pinho,T7,0
Gloria Pinho,T8,0
Gloria Pinho,T9,0
Gloria Pinho,T10,0
Gloria Pinho,T11,0
Gloria Pinho,T12,0
Gloria Pinho,T13,0
Gloria Pinho,T14,0
Gloria Pinho,T15,0
Null votes,T1,0
Null votes,T2,1
Null votes,T3,0
Null votes,T4,1
Null votes,T5,1
Null votes,T6,1
Null votes,T7,1
Null votes,T8,3
Null votes,T9,0
Null votes,T10,1
Null votes,T11,1
Null votes,T12,2
Null votes,T13,1
Null votes,T14,0
Null votes,T15,0
